CodFrota;descricao_especialidade
60519;CAMINHAO - CANAVIEIRO
60520;CAMINHAO - CANAVIEIRO
60521;CAMINHAO - PRANCHA
60800;CAMINHAO - SUPRIMENTOS
60801;CAMINHAO - OFICINA
60802;CAMINHAO - OFICINA
60803;CAMINHAO - OFICINA
60804;CAMINHAO - ASSISTENCIA
60805;CAMINHAO - BAU HERBICIDA
60806;CAMINHAO - PRANCHA
60917;CAMINHAO - BOMBEIRO
60808;CAMINHAO - TRANSP. TUBO
60900;CAMINHAO - BOMBEIRO
60901;CAMINHAO - BOMBEIRO
60902;CAMINHAO - BOMBEIRO
60903;CAMINHAO - BOMBEIRO
60904;CAMINHAO - BOMBEIRO
60906;CAMINHAO - BOMBEIRO
60907;CAMINHAO - BOMBEIRO
60908;CAMINHAO - BOMBEIRO
60909;CAMINHAO - BOMBEIRO
60910;CAMINHAO - BOMBEIRO
60807;CAMINHAO - OFICINA
60815;CAMINHAO - BORRACHARIA
61149;CAMINHAO - COMBOIO
60911;CAMINHAO - BOMBEIRO
61151;CAMINHAO - COMBOIO
61152;CAMINHAO - COMBOIO
61250;CAMINHAO - CACAMBA
61251;CAMINHAO - CACAMBA
61252;CAMINHAO - CACAMBA
46230;ONIBUS - TRANSPORTE PESSOAL
62001;CARREGADEIRA - AGRICOLA
62002;CARREGADEIRA - AGRICOLA
62200;TRATOR - TRANSBORDO
62202;TRATOR - TRANSBORDO
62204;TRATOR - TRANSBORDO
62205;TRATOR - AGRICOLA
62206;TRATOR - AGRICOLA
62207;TRATOR - AGRICOLA
62208;TRATOR - AGRICOLA
62209;TRATOR - AGRICOLA
62210;TRATOR - AGRICOLA
62227;TRATOR - TRANSBORDO
62228;TRATOR - TRANSBORDO
62229;TRATOR - TRANSBORDO
62232;TRATOR - TRANSBORDO
62233;TRATOR - TRANSBORDO
62234;TRATOR - TRANSBORDO
62235;TRATOR - TRANSBORDO
62236;TRATOR - TRANSBORDO
62237;TRATOR - TRANSBORDO
62238;TRATOR - TRANSBORDO
62241;TRATOR - TRANSBORDO
62242;TRATOR - TRANSBORDO
62243;TRATOR - TRANSBORDO
62244;TRATOR - TRANSBORDO
62245;TRATOR - TRANSBORDO
62246;TRATOR - TRANSBORDO
62247;TRATOR - TRANSBORDO
62248;TRATOR - TRANSBORDO
62500;COLHEDORA - CANA
62502;COLHEDORA - CANA
62503;COLHEDORA - CANA
62504;COLHEDORA - CANA
62505;COLHEDORA - CANA
62507;COLHEDORA - CANA
62508;COLHEDORA - CANA
62509;COLHEDORA - CANA
62510;COLHEDORA - CANA
62511;COLHEDORA - CANA
63000;REBOQUE - CANAVIEIRO
63001;REBOQUE - CANAVIEIRO
63002;REBOQUE - CANAVIEIRO
63003;REBOQUE - CANAVIEIRO
63004;REBOQUE - CANAVIEIRO
63005;REBOQUE - CANAVIEIRO
63006;REBOQUE - CANAVIEIRO
63007;REBOQUE - CANAVIEIRO
63008;REBOQUE - CANAVIEIRO
63009;REBOQUE - CANAVIEIRO
63010;REBOQUE - CANAVIEIRO
63011;REBOQUE - CANAVIEIRO
63012;REBOQUE - CANAVIEIRO
63013;REBOQUE - CANAVIEIRO
63014;REBOQUE - CANAVIEIRO
63015;REBOQUE - CANAVIEIRO
63016;REBOQUE - CANAVIEIRO
63017;REBOQUE - CANAVIEIRO
63018;REBOQUE - CANAVIEIRO
63019;REBOQUE - CANAVIEIRO
63020;REBOQUE - CANAVIEIRO
63021;REBOQUE - CANAVIEIRO
63022;REBOQUE - CANAVIEIRO
63023;REBOQUE - CANAVIEIRO
63024;REBOQUE - CANAVIEIRO
63025;REBOQUE - CANAVIEIRO
63026;REBOQUE - CANAVIEIRO
63027;REBOQUE - CANAVIEIRO
63028;REBOQUE - CANAVIEIRO
63029;REBOQUE - CANAVIEIRO
63030;REBOQUE - CANAVIEIRO
63031;REBOQUE - CANAVIEIRO
63032;REBOQUE - CANAVIEIRO
63033;REBOQUE - CANAVIEIRO
63034;REBOQUE - CANAVIEIRO
63035;REBOQUE - CANAVIEIRO
63036;REBOQUE - CANAVIEIRO
63037;REBOQUE - CANAVIEIRO
63038;REBOQUE - CANAVIEIRO
63039;REBOQUE - CANAVIEIRO
63040;REBOQUE - CANAVIEIRO
63041;REBOQUE - CANAVIEIRO
63042;REBOQUE - CANAVIEIRO
63043;REBOQUE - CANAVIEIRO
63044;REBOQUE - CANAVIEIRO
63045;REBOQUE - CANAVIEIRO
63046;REBOQUE - CANAVIEIRO
63047;REBOQUE - CANAVIEIRO
63048;REBOQUE - CANAVIEIRO
63049;REBOQUE - CANAVIEIRO
63050;REBOQUE - CANAVIEIRO
63051;REBOQUE - CANAVIEIRO
63052;REBOQUE - CANAVIEIRO
63053;REBOQUE - CANAVIEIRO
63054;REBOQUE - CANAVIEIRO
63055;REBOQUE - CANAVIEIRO
63056;REBOQUE - CANAVIEIRO
63057;REBOQUE - CANAVIEIRO
63058;REBOQUE - CANAVIEIRO
63059;REBOQUE - CANAVIEIRO
63815;REBOQUE - BANHEIRO MOVEL
63902;REBOQUE - TRANSP. TUBO
63300;REBOQUE - TRANSBORDO
63301;REBOQUE - TRANSBORDO
63302;REBOQUE - TRANSBORDO
63303;REBOQUE - TRANSBORDO
63305;REBOQUE - TRANSBORDO
63306;REBOQUE - TRANSBORDO
63307;REBOQUE - TRANSBORDO
63308;REBOQUE - TRANSBORDO
63309;REBOQUE - TRANSBORDO
63310;REBOQUE - TRANSBORDO
63311;REBOQUE - TRANSBORDO
63312;REBOQUE - TRANSBORDO
63313;REBOQUE - TRANSBORDO
63314;REBOQUE - TRANSBORDO
63315;REBOQUE - TRANSBORDO
63316;REBOQUE - TRANSBORDO
63317;REBOQUE - TRANSBORDO
63318;REBOQUE - TRANSBORDO
63319;REBOQUE - TRANSBORDO
63322;REBOQUE - TRANSBORDO
63323;REBOQUE - TRANSBORDO
63324;REBOQUE - TRANSBORDO
63325;REBOQUE - TRANSBORDO
63326;REBOQUE - TRANSBORDO
63327;REBOQUE - TRANSBORDO
63328;REBOQUE - TRANSBORDO
63329;REBOQUE - TRANSBORDO
63330;REBOQUE - TRANSBORDO
