CodFrota;descricao_especialidade
63360;REBOQUE - TRANSBORDO
63361;REBOQUE - TRANSBORDO
63362;REBOQUE - TRANSBORDO
66117;IMPLEMENTO - DIVERSOS
65710;EQUIPAMENTO IRRIG - MOTOR GERADOR
62217;TRATOR - TRANSBORDO
62218;TRATOR - TRANSBORDO
62203;TRATOR - TRANSBORDO
62249;TRATOR - TRANSBORDO
46008;VEICULO - COLABORADORES / PARCEIROS
62700;MAQUINA - UNIPORT
60054;VEICULO - ASSISTENCIA
60055;VEICULO - ASSISTENCIA
60058;VEICULO - ASSISTENCIA
60066;VEICULO - ASSISTENCIA
60067;VEICULO - ASSISTENCIA
60068;VEICULO - ASSISTENCIA
60069;VEICULO - ASSISTENCIA
60070;VEICULO - ASSISTENCIA
63714;REBOQUE - TANQUE
63715;REBOQUE - TANQUE
63716;REBOQUE - TANQUE
63717;REBOQUE - TANQUE
60071;VEICULO - ASSISTENCIA
60072;VEICULO - ASSISTENCIA
60073;VEICULO - ASSISTENCIA
60074;VEICULO - ASSISTENCIA
60075;VEICULO - ASSISTENCIA
60076;VEICULO - ASSISTENCIA
60077;VEICULO - ASSISTENCIA
63740;REBOQUE - TANQUE
62219;TRATOR - AGRICOLA
60263;MOTOCICLETA - ASSISTENCIA
60078;VEICULO - ASSISTENCIA
60079;VEICULO - ASSISTENCIA
46166;ONIBUS - TRANSPORTE PESSOAL
46536;TRATOR - AGRICOLA
60098;VEICULO - ASSISTENCIA
60080;VEICULO - ASSISTENCIA
60081;VEICULO - ASSISTENCIA
60082;VEICULO - ASSISTENCIA
60083;VEICULO - ASSISTENCIA
60085;VEICULO - ASSISTENCIA
60086;VEICULO - ASSISTENCIA
60087;VEICULO - ASSISTENCIA
60089;VEICULO - ASSISTENCIA
63320;REBOQUE - TRANSBORDO
66118;IMPLEMENTO - SEMEADEIRA - (DISTRIB.CANA)
66119;IMPLEMENTO - SEMEADEIRA - (DISTRIB.CANA)
66121;IMPLEMENTO - SEMEADEIRA - (DISTRIB.CANA)
66122;IMPLEMENTO - SEMEADEIRA - (DISTRIB.CANA)
66123;IMPLEMENTO - SEMEADEIRA - (DISTRIB.CANA)
66125;IMPLEMENTO - SEMEADEIRA - (DISTRIB.CANA)
46019;VEICULO - ASSISTENCIA
46167;CAMINHAO - BOMBEIRO
66126;IMPLEMENTO - APLIC. INSETICIDA
60090;VEICULO - ASSISTENCIA
63718;REBOQUE - TANQUE
66127;IMPLEMENTO - APLIC. INSETICIDA
63719;REBOQUE - TANQUE
63720;REBOQUE - TANQUE
62252;TRATOR - TRANSBORDO
62240;TRATOR - TRANSBORDO
63721;REBOQUE - TANQUE
63722;REBOQUE - TANQUE
46012;VEICULO - COLABORADORES / PARCEIROS
46195;ONIBUS - TRANSPORTE PESSOAL
46196;ONIBUS - TRANSPORTE PESSOAL
46534;MAQUINA - UNIPORT
60912;CAMINHAO - BOMBEIRO
60913;CAMINHAO - BOMBEIRO
60914;CAMINHAO - BOMBEIRO
60915;CAMINHAO - BOMBEIRO
61150;CAMINHAO - COMBOIO
60091;VEICULO - ASSISTENCIA
65800;EQUIPAMENTO INDUST - MOTOR ESTACIONARIO
66128;IMPLEMENTO - MOTOSSERRA
66129;IMPLEMENTO - MOTOSSERRA
65538;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65539;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
66130;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
62513;COLHEDORA - CANA
63813;AREA VIVENCIA - DIVERSOS
46168;ONIBUS - TRANSPORTE PESSOAL
47704;DRONE - APLICACAO AEREA
60522;CAMINHAO - CANAVIEIRO
60523;CAMINHAO - CANAVIEIRO
60524;CAMINHAO - PRANCHA
60525;CAMINHAO - CANAVIEIRO
60526;CAMINHAO - CANAVIEIRO
60527;CAMINHAO - CANAVIEIRO
60532;CAMINHAO - CANAVIEIRO
60535;CAMINHAO - CANAVIEIRO
60534;CAMINHAO - CANAVIEIRO
60533;CAMINHAO - CANAVIEIRO
60531;CAMINHAO - CANAVIEIRO
60530;CAMINHAO - PRANCHA
60529;CAMINHAO - CANAVIEIRO
60528;CAMINHAO - CANAVIEIRO
63723;REBOQUE - TANQUE
63724;REBOQUE - TANQUE
63725;REBOQUE - TANQUE
63726;REBOQUE - TANQUE
63727;REBOQUE - TANQUE
63730;REBOQUE - TANQUE
63728;REBOQUE - TANQUE
63729;REBOQUE - TANQUE
68038;UTILITARIO - OFICINA
60536;CAMINHAO - CANAVIEIRO
60550;CAMINHAO - BOMBEIRO
60552;CAMINHAO - CANAVIEIRO
46582;MAQUINA - UNIPORT
46169;ONIBUS - TRANSPORTE PESSOAL
47220;EQUIPAMENTO IRRIG - MOTOR ESTACIONARIO
63363;REBOQUE - TRANSBORDO
63364;REBOQUE - TRANSBORDO
63365;REBOQUE - TRANSBORDO
63366;REBOQUE - TRANSBORDO
63367;REBOQUE - TRANSBORDO
63368;REBOQUE - TRANSBORDO
63369;REBOQUE - TRANSBORDO
47302;IMPLEMENTO - GUINDASTE
62250;TRATOR - TRANSBORDO
62239;TRATOR - TRANSBORDO
62514;COLHEDORA - CANA
62515;COLHEDORA - CANA
65711;EQUIPAMENTO IRRIG - MOTOR GERADOR
62516;COLHEDORA - CANA
60092;VEICULO - ASSISTENCIA
46221;ONIBUS - TRANSPORTE PESSOAL
46222;ONIBUS - TRANSPORTE PESSOAL
47318;IMPLEMENTO - GUINDASTE
46588;TRATOR - AGRICOLA
60093;VEICULO - ASSISTENCIA
63731;REBOQUE - TANQUE
63732;REBOQUE - TANQUE
63733;REBOQUE - TANQUE
63734;REBOQUE - TANQUE
63735;REBOQUE - TANQUE
63370;REBOQUE - TRANSBORDO
63371;REBOQUE - TRANSBORDO
60094;VEICULO - ASSISTENCIA
46519;TRATOR - AGRICOLA
46589;TRATOR - AGRICOLA
46590;TRATOR - AGRICOLA
65324;EQUIPAMENTO IRRIG - ELETROBOMBA
65325;EQUIPAMENTO IRRIG - ELETROBOMBA
65326;EQUIPAMENTO IRRIG - ELETROBOMBA
65328;EQUIPAMENTO IRRIG - ELETROBOMBA
65327;EQUIPAMENTO IRRIG - ELETROBOMBA
46592;TRATOR - AGRICOLA
47221;EQUIPAMENTO IRRIG - MOTOR GERADOR
61002;CAMINHAO - BORRACHARIA
60810;CAMINHAO - OFICINA
46977;MAQUINA PESADA - ROLO COMPACTADOR
46593;TRATOR - AGRICOLA
60265;MOTOCICLETA - ASSISTENCIA
46224;ONIBUS - TRANSPORTE PESSOAL
46225;ONIBUS - TRANSPORTE PESSOAL
46597;MAQUINA - UNIPORT
46598;TRATOR - AGRICOLA
60059;VEICULO - ASSISTENCIA
60096;VEICULO - ASSISTENCIA
60095;VEICULO - ASSISTENCIA
46226;ONIBUS - TRANSPORTE PESSOAL
65712;EQUIPAMENTO IRRIG - MOTOR GERADOR
63063;REBOQUE - CANAVIEIRO
63064;REBOQUE - CANAVIEIRO
63065;REBOQUE - CANAVIEIRO
63066;REBOQUE - CANAVIEIRO
47222;EQUIPAMENTO IRRIG - MOTOR GERADOR
46537;TRATOR - AGRICOLA
65540;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65541;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
63067;REBOQUE - CANAVIEIRO
63068;REBOQUE - CANAVIEIRO
63069;REBOQUE - CANAVIEIRO
63070;REBOQUE - CANAVIEIRO
63071;REBOQUE - CANAVIEIRO
63072;REBOQUE - CANAVIEIRO
63073;REBOQUE - CANAVIEIRO
63074;REBOQUE - CANAVIEIRO
63075;REBOQUE - CANAVIEIRO
63076;REBOQUE - CANAVIEIRO
60097;VEICULO - ASSISTENCIA
66131;IMPLEMENTO - ROCADEIRA
66132;IMPLEMENTO - ROCADEIRA
66133;IMPLEMENTO - ROCADEIRA
63077;REBOQUE - CANAVIEIRO
63078;REBOQUE - CANAVIEIRO
63079;REBOQUE - CANAVIEIRO
63080;REBOQUE - CANAVIEIRO
63081;REBOQUE - CANAVIEIRO
63082;REBOQUE - CANAVIEIRO
63083;REBOQUE - CANAVIEIRO
63084;REBOQUE - CANAVIEIRO
63085;REBOQUE - CANAVIEIRO
63086;REBOQUE - CANAVIEIRO
65542;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65543;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
63601;REBOQUE - PRANCHA
65011;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO
46928;MAQUINA PESADA - EMPILHADEIRA
66134;IMPLEMENTO - CARRETA AGRICOLA
66135;IMPLEMENTO - CARRETA AGRICOLA
66136;IMPLEMENTO - CARRETA AGRICOLA
47307;IMPLEMENTO - DIVERSOS
63710;REBOQUE - TANQUE
66137;IMPLEMENTO - DIVERSOS
62253;TRATOR - TRANSBORDO
62254;TRATOR - TRANSBORDO
62215;TRATOR - TRANSBORDO
62256;TRATOR - TRANSBORDO
62257;TRATOR - TRANSBORDO
63736;REBOQUE - TANQUE
60061;VEICULO - ASSISTENCIA
63737;REBOQUE - TANQUE
62512;COLHEDORA - CANA
46143;CAMINHAO - BOMBEIRO
47308;IMPLEMENTO - GUINDASTE
65713;EQUIPAMENTO IRRIG - MOTOR GERADOR
63304;REBOQUE - TRANSBORDO
63332;REBOQUE - TRANSBORDO
63336;REBOQUE - TRANSBORDO
63372;REBOQUE - TRANSBORDO
63373;REBOQUE - TRANSBORDO
63321;REBOQUE - TRANSBORDO
62225;TRATOR - AGRICOLA
62226;TRATOR - TRANSBORDO
62216;TRATOR - AGRICOLA
62221;TRATOR - AGRICOLA
62223;TRATOR - AGRICOLA
62224;TRATOR - AGRICOLA
46170;CAMINHAO - TRANSP. ACUCAR
61003;CAMINHAO - MUNCK
63374;REBOQUE - TRANSBORDO
63375;REBOQUE - TRANSBORDO
63376;REBOQUE - TRANSBORDO
63377;REBOQUE - TRANSBORDO
63378;REBOQUE - TRANSBORDO
63814;AREA VIVENCIA - DIVERSOS
46943;MAQUINA PESADA - EMPILHADEIRA
62230;TRATOR - TRANSBORDO
62231;TRATOR - TRANSBORDO
47223;EQUIPAMENTO IRRIG - MOTOR GERADOR
60050;VEICULO - ASSISTENCIA
62251;TRATOR - AGRICOLA
62258;TRATOR - AGRICOLA
47224;EQUIPAMENTO IRRIG - MOTOR GERADOR
62517;COLHEDORA - CANA
62518;COLHEDORA - CANA
47303;IMPLEMENTO - GUINDASTE
46100;ONIBUS - TRANSPORTE PESSOAL
64404;MAQUINA PESADA - EMPILHADEIRA
64403;MAQUINA PESADA - EMPILHADEIRA
47310;IMPLEMENTO - GUINDASTE
46108;CAMINHAO - TRANSP. ACUCAR
65714;EQUIPAMENTO IRRIG - MOTOR GERADOR
63379;REBOQUE - TRANSBORDO
63380;REBOQUE - TRANSBORDO
46023;VEICULO - ASSISTENCIA
65544;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65545;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65546;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
46109;ONIBUS - TRANSPORTE PESSOAL
46502;MAQUINA - UNIPORT
62259;TRATOR - TRANSBORDO
62260;TRATOR - TRANSBORDO
60537;CAMINHAO - CANAVIEIRO
60538;CAMINHAO - CANAVIEIRO
60539;CAMINHAO - CANAVIEIRO
60540;CAMINHAO - CANAVIEIRO
60541;CAMINHAO - CANAVIEIRO
60542;CAMINHAO - CANAVIEIRO
60543;CAMINHAO - CANAVIEIRO
60544;CAMINHAO - CANAVIEIRO
60545;CAMINHAO - CANAVIEIRO
61050;CAMINHAO - TRANSP. TUBO
60916;CAMINHAO - BOMBEIRO
60267;MOTOCICLETA - ASSISTENCIA
60811;CAMINHAO - ASSISTENCIA
60812;CAMINHAO - ASSISTENCIA
60813;CAMINHAO - ASSISTENCIA
60814;CAMINHAO - ASSISTENCIA
46087;VEICULO - COLABORADORES / PARCEIROS
65547;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65548;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65549;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
46111;ONIBUS - TRANSPORTE PESSOAL
64101;MAQUINA PESADA - RETROESCAVADEIRA
47314;UTILITARIO - DIVERSOS
65550;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65551;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65552;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65553;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65554;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65555;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
47311;IMPLEMENTO - GUINDASTE
46130;IMPLEMENTO - GUINDASTE
60099;VEICULO - ASSISTENCIA
60100;VEICULO - ASSISTENCIA
60101;VEICULO - ASSISTENCIA
60102;VEICULO - ASSISTENCIA
60103;VEICULO - ASSISTENCIA
60104;VEICULO - ASSISTENCIA
46132;IMPLEMENTO - GUINDASTE
46133;ONIBUS - TRANSPORTE PESSOAL
47312;IMPLEMENTO - APLIC. INSETICIDA
63738;REBOQUE - TANQUE
63739;REBOQUE - TANQUE
62261;TRATOR - AGRICOLA
60268;MOTOCICLETA - ASSISTENCIA
60269;MOTOCICLETA - ASSISTENCIA
60270;MOTOCICLETA - ASSISTENCIA
60271;MOTOCICLETA - ASSISTENCIA
60272;MOTOCICLETA - ASSISTENCIA
60273;MOTOCICLETA - ASSISTENCIA
65329;EQUIPAMENTO IRRIG - ELETROBOMBA
65330;EQUIPAMENTO IRRIG - ELETROBOMBA
65331;EQUIPAMENTO IRRIG - ELETROBOMBA
65332;EQUIPAMENTO IRRIG - ELETROBOMBA
65333;EQUIPAMENTO IRRIG - ELETROBOMBA
66138;EQUIPAMENTO IRRIG - TRANSFORMADOR
66139;EQUIPAMENTO IRRIG - TRANSFORMADOR
66140;EQUIPAMENTO IRRIG - TRANSFORMADOR
47226;EQUIPAMENTO INDUST - MOTOR GERADOR
46007;VEICULO - COLABORADORES / PARCEIROS
60105;VEICULO - ASSISTENCIA
60106;VEICULO - ASSISTENCIA
66000;IMPLEMENTO - MOTOSSERRA
66001;IMPLEMENTO - MOTOSSERRA
63900;REBOQUE - CACAMBA
65715;EQUIPAMENTO INDUST - MOTOR GERADOR
64000;MAQUINA PESADA - PA CARREGADEIRA
65801;EQUIPAMENTO IRRIG - MOTOR ESTACIONARIO
60107;VEICULO - ASSISTENCIA
60084;VEICULO - ASSISTENCIA
46136;ONIBUS - TRANSPORTE PESSOAL
46503;TRATOR - AGRICOLA
46504;TRATOR - AGRICOLA
47315;IMPLEMENTO - GUINDASTE
46137;CAMINHAO - TRANSP. ACUCAR
46138;CAMINHAO - CANAVIEIRO
65716;EQUIPAMENTO IRRIG - MOTOR GERADOR
63096;REBOQUE - CANAVIEIRO
63090;REBOQUE - CANAVIEIRO
63089;REBOQUE - CANAVIEIRO
63088;REBOQUE - CANAVIEIRO
63087;REBOQUE - CANAVIEIRO
62520;COLHEDORA - CANA
62519;COLHEDORA - CANA
63091;REBOQUE - CANAVIEIRO
63092;REBOQUE - CANAVIEIRO
63093;REBOQUE - CANAVIEIRO
63094;REBOQUE - CANAVIEIRO
63095;REBOQUE - CANAVIEIRO
62521;COLHEDORA - CANA
63097;REBOQUE - CANAVIEIRO
63098;REBOQUE - CANAVIEIRO
63099;REBOQUE - CANAVIEIRO
63100;REBOQUE - CANAVIEIRO
63101;REBOQUE - CANAVIEIRO
63102;REBOQUE - CANAVIEIRO
46000;VEICULO - TAXI
46015;VEICULO - COLABORADORES / PARCEIROS
66141;IMPLEMENTO - DISTRIBUIDOR ADUBO
66142;IMPLEMENTO - DISTRIBUIDOR ADUBO
46020;VEICULO - COLABORADORES / PARCEIROS
66005;IMPLEMENTO - PLANTADORA CANA
66006;IMPLEMENTO - PLANTADORA CANA
66143;IMPLEMENTO - PLANTADORA CANA
66144;IMPLEMENTO - PLANTADORA CANA
46010;VEICULO - COLABORADORES / PARCEIROS
63103;REBOQUE - CANAVIEIRO
63104;REBOQUE - CANAVIEIRO
63381;REBOQUE - TRANSBORDO
63382;REBOQUE - TRANSBORDO
63383;REBOQUE - TRANSBORDO
63107;REBOQUE - CANAVIEIRO
36701;REBOQUE - CANAVIEIRO
36700;REBOQUE - CANAVIEIRO
60109;VEICULO - ASSISTENCIA
63108;REBOQUE - CANAVIEIRO
36702;REBOQUE - CANAVIEIRO
36704;REBOQUE - CANAVIEIRO
36703;REBOQUE - CANAVIEIRO
36705;REBOQUE - CANAVIEIRO
60110;VEICULO - ASSISTENCIA
66145;IMPLEMENTO - JARDINAGEM
60057;VEICULO - ASSISTENCIA
63060;REBOQUE - CANAVIEIRO
63061;REBOQUE - CANAVIEIRO
63113;REBOQUE - CANAVIEIRO
63114;REBOQUE - CANAVIEIRO
63115;REBOQUE - CANAVIEIRO
63116;REBOQUE - CANAVIEIRO
63117;REBOQUE - CANAVIEIRO
63118;REBOQUE - CANAVIEIRO
63120;REBOQUE - CANAVIEIRO
63121;REBOQUE - CANAVIEIRO
63119;REBOQUE - CANAVIEIRO
63122;REBOQUE - CANAVIEIRO
36706;REBOQUE - CANAVIEIRO
63106;REBOQUE - CANAVIEIRO
36707;REBOQUE - CANAVIEIRO
63110;REBOQUE - CANAVIEIRO
63901;REBOQUE - GRANELEIRO
66028;IMPLEMENTO - HERBIPLUS E BOMBA COSTAL
66146;IMPLEMENTO - DISTRIBUIDOR ADUBO
66147;IMPLEMENTO - APLIC. INSETICIDA
66148;IMPLEMENTO - SEPARADOR MAGNETICO
47227;EQUIPAMENTO IRRIG - MOTOR GERADOR
60000;VEICULO - DIRETORIA
60056;VEICULO - ASSISTENCIA
60063;VEICULO - ASSISTENCIA
60064;VEICULO - ASSISTENCIA
64202;MAQUINA PESADA - MOTONIVELADORA
63386;REBOQUE - TRANSBORDO
63384;REBOQUE - TRANSBORDO
63385;REBOQUE - TRANSBORDO
63387;REBOQUE - TRANSBORDO
63388;REBOQUE - TRANSBORDO
63389;REBOQUE - TRANSBORDO
66149;IMPLEMENTO - APLIC. INSETICIDA
66150;IMPLEMENTO - APLIC. INSETICIDA
66151;IMPLEMENTO - APLIC. INSETICIDA
65717;EQUIPAMENTO IRRIG - MOTOR GERADOR
46115;CAMINHAO - COMBOIO
47316;UTILITARIO - DIVERSOS
66152;IMPLEMENTO - DIVERSOS
62263;TRATOR - TRANSBORDO
62264;TRATOR - TRANSBORDO
62265;TRATOR - TRANSBORDO
62266;TRATOR - TRANSBORDO
66120;IMPLEMENTO - APLIC. INSETICIDA
66153;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
66154;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
66124;IMPLEMENTO - PLANTADORA CANA
66155;IMPLEMENTO - PLANTADORA CANA
46116;ONIBUS - TRANSPORTE PESSOAL
60816;CAMINHAO - SUPRIMENTOS
60065;VEICULO - ASSISTENCIA
66077;IMPLEMENTO - APLIC. INSETICIDA
66156;IMPLEMENTO - APLIC. INSETICIDA
64405;MAQUINA PESADA - EMPILHADEIRA
46505;MAQUINA - UNIPORT
47228;EQUIPAMENTO IRRIG - MOTOR ESTACIONARIO
46934;MAQUINA PESADA - RETROESCAVADEIRA
46506;MAQUINA - UNIPORT
47319;IMPLEMENTO - GUINDASTE
46599;TRATOR - AGRICOLA
61153;CAMINHAO - COMBOIO
46935;MAQUINA PESADA - MOTONIVELADORA
46022;VEICULO - ASSISTENCIA
63123;REBOQUE - CANAVIEIRO
63124;REBOQUE - CANAVIEIRO
63125;REBOQUE - CANAVIEIRO
63126;REBOQUE - CANAVIEIRO
46939;MAQUINA PESADA - MOTONIVELADORA
46144;CAMINHAO - COMBOIO
46940;MAQUINA PESADA - ESCAVADEIRA HIDRAULICA
46941;MAQUINA PESADA - PA CARREGADEIRA
66157;IMPLEMENTO - CARRETA AGRICOLA
66158;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
67002;DRONE - APLICACAO AEREA
67003;DRONE - APLICACAO AEREA
47320;IMPLEMENTO - GUINDASTE
47321;IMPLEMENTO - GUINDASTE
65802;EQUIPAMENTO IRRIG - MOTOR ESTACIONARIO
46944;MAQUINA PESADA - RETROESCAVADEIRA
65556;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65557;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65558;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
62267;TRATOR - AGRICOLA
62268;TRATOR - AGRICOLA
46011;VEICULO - ASSISTENCIA
46021;VEICULO - ASSISTENCIA
65507;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65559;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65560;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
62269;TRATOR - AGRICOLA
62270;TRATOR - AGRICOLA
60546;CAMINHAO - CANAVIEIRO
60548;CAMINHAO - CANAVIEIRO
60547;CAMINHAO - CANAVIEIRO
65561;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
62271;TRATOR - TRANSBORDO
60111;VEICULO - ASSISTENCIA
60275;MOTOCICLETA - ASSISTENCIA
60274;MOTOCICLETA - ASSISTENCIA
60088;VEICULO - ASSISTENCIA
61254;CAMINHAO - CACAMBA
61253;CAMINHAO - CACAMBA
60905;CAMINHAO - BOMBEIRO
66159;IMPLEMENTO - CULTIVADOR / QUEBRA LOMBO
66160;IMPLEMENTO - CULTIVADOR / QUEBRA LOMBO
60112;VEICULO - ASSISTENCIA
60108;VEICULO - ASSISTENCIA
46029;MOTOCICLETA - QUADRICICLO
46028;VEICULO - ASSISTENCIA
46032;VEICULO - COLABORADORES / PARCEIROS
62522;COLHEDORA - CANA
46509;TRATOR - AGRICOLA
46510;TRATOR - AGRICOLA
46978;MAQUINA PESADA - PA CARREGADEIRA
46979;MAQUINA PESADA - PA CARREGADEIRA
62272;TRATOR - TRANSBORDO
46228;ONIBUS - TRANSPORTE PESSOAL
62523;COLHEDORA - CANA
46088;VEICULO - ASSISTENCIA
64406;MAQUINA PESADA - EMPILHADEIRA
60113;VEICULO - ASSISTENCIA
46089;VEICULO - ASSISTENCIA
46980;MAQUINA PESADA - EMPILHADEIRA
46171;ONIBUS - TRANSPORTE PESSOAL
46160;ONIBUS - TRANSPORTE PESSOAL
65803;EQUIPAMENTO IRRIG - MOTOR ESTACIONARIO
46092;VEICULO - ASSISTENCIA
47322;IMPLEMENTO - ROCADEIRA
94139;VEICULO - ASSISTENCIA
46602;MAQUINA - UNIPORT
46981;MAQUINA PESADA - PLATAFORMA PANTOGRAFICA
66760;IMPLEMENTO - HERBIPLUS E BOMBA COSTAL
62274;TRATOR - TRANSBORDO
62273;TRATOR - TRANSBORDO
94140;VEICULO - ASSISTENCIA
62529;COLHEDORA - CANA
62275;TRATOR - TRANSBORDO
62276;TRATOR - TRANSBORDO
62524;COLHEDORA - CANA
62277;TRATOR - TRANSBORDO
62278;TRATOR - TRANSBORDO
62279;TRATOR - TRANSBORDO
62528;COLHEDORA - CANA
62280;TRATOR - TRANSBORDO
62281;TRATOR - TRANSBORDO
62282;TRATOR - TRANSBORDO
62283;TRATOR - TRANSBORDO
62284;TRATOR - TRANSBORDO
60276;MOTOCICLETA - ASSISTENCIA
46982;MAQUINA PESADA - MOTONIVELADORA
46038;VEICULO - COLABORADORES / PARCEIROS
65718;EQUIPAMENTO IRRIG - MOTOR GERADOR
65719;EQUIPAMENTO IRRIG - MOTOR GERADOR
62525;COLHEDORA - CANA
62526;COLHEDORA - CANA
62527;COLHEDORA - CANA
64407;MAQUINA PESADA - EMPILHADEIRA
67004;DRONE - DIVERSOS
67005;DRONE - DIVERSOS
67006;DRONE - DIVERSOS
60114;VEICULO - ASSISTENCIA
46970;MAQUINA PESADA - MOTONIVELADORA
65565;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65564;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65563;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65562;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65566;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
63407;REBOQUE - TRANSBORDO
63406;REBOQUE - TRANSBORDO
63405;REBOQUE - TRANSBORDO
63404;REBOQUE - TRANSBORDO
63403;REBOQUE - TRANSBORDO
63402;REBOQUE - TRANSBORDO
63401;REBOQUE - TRANSBORDO
63400;REBOQUE - TRANSBORDO
63399;REBOQUE - TRANSBORDO
63398;REBOQUE - TRANSBORDO
63397;REBOQUE - TRANSBORDO
63396;REBOQUE - TRANSBORDO
63395;REBOQUE - TRANSBORDO
63394;REBOQUE - TRANSBORDO
63393;REBOQUE - TRANSBORDO
63392;REBOQUE - TRANSBORDO
46983;COMPACTADOR DE SOLO
47323;IMPLEMENTO - DIVERSOS
63127;REBOQUE - CANAVIEIRO
63128;REBOQUE - CANAVIEIRO
63129;REBOQUE - CANAVIEIRO
63130;REBOQUE - CANAVIEIRO
63131;REBOQUE - CANAVIEIRO
63132;REBOQUE - CANAVIEIRO
47324;IMPLEMENTO - GUINDASTE
46984;MAQUINA PESADA - MOTONIVELADORA
46231;CAMINHAO - APOIO INDUSTRIA
66161;IMPLEMENTO - MOTOSSERRA
66162;IMPLEMENTO - MOTOSSERRA
60817;CAMINHAO - ASSISTENCIA
60818;CAMINHAO - ASSISTENCIA
46985;MAQUINA PESADA - ESCAVADEIRA HIDRAULICA
63135;REBOQUE - CANAVIEIRO
63134;REBOQUE - CANAVIEIRO
46041;VEICULO - ASSISTENCIA
60819;CAMINHAO - ASSISTENCIA
60820;CAMINHAO - ASSISTENCIA
46986;MAQUINA PESADA - ESCAVADEIRA HIDRAULICA
60001;VEICULO - DIRETORIA
46234;ONIBUS - TRANSPORTE PESSOAL
46233;ONIBUS - TRANSPORTE PESSOAL
46232;ONIBUS - TRANSPORTE PESSOAL
46987;MAQUINA PESADA - ESCAVADEIRA HIDRAULICA
46988;MAQUINA PESADA - ESCAVADEIRA HIDRAULICA
46989;MAQUINA PESADA - PA CARREGADEIRA
46052;VEICULO - ASSISTENCIA
47325;MAQUINA PESADA - PLATAFORMA PANTOGRAFICA
46054;VEICULO - ASSISTENCIA
46055;VEICULO - ASSISTENCIA
60116;VEICULO - ASSISTENCIA
60115;VEICULO - ASSISTENCIA
46056;VEICULO - ASSISTENCIA
46002;VEICULO - COLABORADORES / PARCEIROS
46057;VEICULO - ASSISTENCIA
66163;IMPLEMENTO - APLIC. INSETICIDA
65720;EQUIPAMENTO IRRIG - MOTOR GERADOR
46058;VEICULO - ASSISTENCIA
66164;IMPLEMENTO - ROCADEIRA
66165;IMPLEMENTO - ROCADEIRA
46236;ONIBUS - TRANSPORTE PESSOAL
46042;VEICULO - ASSISTENCIA
46603;TRATOR - AGRICOLA
46604;TRATOR - AGRICOLA
60117;VEICULO - ASSISTENCIA
46045;VEICULO - ASSISTENCIA
46518;TRATOR - AGRICOLA
46521;TRATOR - AGRICOLA
46515;TRATOR - AGRICOLA
46152;CAMINHAO - MUNCK
46145;CAMINHAO - BOMBEIRO
46530;COLHEDORA - CANA
46526;COLHEDORA - CANA
46531;TRATOR - TRANSBORDO
46532;TRATOR - TRANSBORDO
46533;TRATOR - TRANSBORDO
46542;TRATOR - TRANSBORDO
46153;CAMINHAO - COMBOIO
46544;TRATOR - TRANSBORDO
46545;TRATOR - TRANSBORDO
46546;TRATOR - TRANSBORDO
46547;TRATOR - TRANSBORDO
46548;TRATOR - TRANSBORDO
46046;VEICULO - ASSISTENCIA
